emg_rms,emg_mav,emg_variance,emg_std,emg_waveform_length,emg_zero_crossing,emg_ssc,emg_kurtosis,emg_skewness,emg_peak,emg_median_freq,emg_mean_freq,emg_peak_freq,emg_total_power,emg_power_low,emg_power_mid,emg_power_high,label,class_name
16.003083092407987,7.426195116493655,256.0986684625144,16.003083092407987,275622.0,16963,32409,13.487386327020277,0.1529079993930427,166.81229411764707,70.3125,93.8976428056755,50.78125,66.82050234800002,14.442374722378442,42.98013648252723,9.386783457273928,0,Non-Fatigue
46.72397036562604,19.20607487288416,2183.1294067279,46.72397036562604,562499.0,14521,30397,16.74113056061663,1.5881719784253374,510.15404339250495,62.5,79.70174809873015,54.6875,548.8652887763203,115.30603412230496,388.8955525004208,44.64256938358678,0,Non-Fatigue
51.511331517267294,22.48976685443787,2653.4172746818144,51.51133151726729,668423.0,13510,27324,16.32379253493914,1.359165720221314,510.1777846153846,74.21875,84.81031895287794,50.78125,680.4635462343663,129.31165341424213,507.21062260454,43.91861498652664,1,Fatigue
46.40716815844955,19.8692596809086,2153.625256486614,46.40716815844955,724202.0,16855,30711,17.528801661635928,-2.1198907009071646,511.8872674418605,85.9375,103.1376956522213,58.59375,556.4636151161466,67.9968260116693,400.3754013786292,88.06214461436515,1,Fatigue
21.160981357823268,9.544700130718956,447.7871320261438,21.160981357823268,325757.0,17062,30946,14.896766979636094,-1.0365407554268875,256.87333333333333,62.5,82.52850082104023,54.6875,114.4454691122157,23.159533462059485,79.8396332131514,11.433087019834442,0,Non-Fatigue
84.36266581211244,37.2086888146333,7117.059382926165,84.36266581211244,988468.0,13441,27379,11.619277322695533,1.8335764192844357,511.5329353233831,70.3125,79.91867032037021,50.78125,1826.843743824157,318.5013600934001,1383.9541833847677,124.35159244780937,1,Fatigue
22.773365307651705,10.395087332474567,518.6261674357542,22.7733653076517,407700.0,16348,31178,13.34126828982793,-0.90729108556547,226.84524366471737,89.84375,108.32367371270932,70.3125,133.8493722019042,20.735823647927887,86.2532571586959,26.84276504745209,0,Non-Fatigue
29.725676383000827,14.918427602101804,883.6158364268931,29.725676383000827,596601.0,15907,28014,12.340122173939257,-0.4303114076224826,297.84594330400785,89.84375,107.84285476499436,54.6875,227.08572886840165,31.358436190975304,150.297789048597,45.38653943566386,0,Non-Fatigue
34.4178526454997,14.145439640120884,1184.5885807273307,34.4178526454997,507145.0,15106,28765,27.9450689766166,0.9231918535885676,510.2193076162216,85.9375,98.27969072186504,54.6875,301.40963664458536,41.904802724016456,218.2522411798955,41.23652842619158,0,Non-Fatigue
20.78748431916657,12.902232384346922,432.1195043195961,20.78748431916657,396426.0,7565,22190,7.916024746827318,0.3958563034861279,175.42650746268657,82.03125,101.79938587211076,50.78125,110.76264776515356,15.750048447114146,77.29157817689484,17.70551290297188,1,Fatigue
19.80968378761113,9.133266903281053,392.42357176514327,19.80968378761113,377386.0,17209,32347,12.109300453020891,0.607689812190246,239.14377906976745,101.5625,113.80528949701304,78.125,100.83186090994054,10.932836114662894,68.2801137777916,21.60569157952989,0,Non-Fatigue
51.35644953054975,25.187773320685235,2637.484908383903,51.35644953054975,557105.0,12688,23309,7.607358361659834,0.3309842659700751,510.1715621156212,62.5,74.77775036632367,58.59375,682.5362144668353,188.6877913857108,455.2411953914878,38.58818510301607,1,Fatigue
21.249229559333383,10.217057984521327,451.5297568652475,21.249229559333383,426449.0,10085,31758,30.915630957462632,1.5737539598337178,306.44729218106994,93.75,110.67903526725924,50.78125,116.61004706540544,10.71921765540553,85.2308905752252,20.646256690066096,1,Fatigue
29.93102347491671,13.227208562160142,895.8661662560153,29.93102347491671,473669.0,16904,31505,15.286984233779728,1.9249007550647013,344.10900483091785,89.84375,99.43509483085454,82.03125,228.8618213763816,26.289997822704024,176.34151633167082,26.218951266368915,1,Fatigue
59.26796000196372,25.07456631351957,3512.6910827943702,59.26796000196371,804757.0,16483,30572,13.802140235620772,1.4829988763393498,510.1434202898551,70.3125,88.60294659649713,50.78125,896.575503498974,153.15717011777957,646.2718648424029,97.1174558442515,0,Non-Fatigue
53.368817304765216,23.921785763520784,2848.230660509407,53.368817304765216,701458.0,14404,27594,14.776272172096078,-1.3060695378296077,511.7726705653021,54.6875,71.94648644431365,50.78125,728.3491962859114,253.33512867653403,416.1468143045466,58.83049251901039,0,Non-Fatigue
23.903375361856867,11.154610957725266,571.3713536898259,23.903375361856867,341414.0,15908,30345,10.20219246242342,-0.9949933209759504,255.86477045908185,66.40625,83.14219554106387,58.59375,145.07848004649338,19.926009036925752,113.60537778733418,11.537058206127766,1,Fatigue
25.97502673070431,12.309714811394963,674.7020136608036,25.97502673070431,461042.0,14607,29620,12.811912356832831,-1.0131020186774162,275.874522417154,82.03125,105.2071081108188,50.78125,173.646122849687,34.034389692775626,101.95618259448094,37.63323582070197,1,Fatigue
32.227450158012495,16.183043672941697,1038.6085436871797,32.227450158012495,457596.0,11789,24204,10.205880541164296,0.7979309878536873,289.0986705767351,58.59375,70.14273914838857,58.59375,269.0506221292049,83.65875394314583,169.6257872026489,15.758085648858716,1,Fatigue
12.815749443117202,6.597679063046352,164.24343378875886,12.815749443117202,258601.0,13997,29170,20.32709747621604,-0.9214017247951166,176.5798021760633,82.03125,104.3878439381304,50.78125,41.58388363585441,5.493579828744959,28.878258723852973,7.207157545771698,1,Fatigue
53.35933485503433,25.30093809995532,2847.2186161716813,53.35933485503433,599668.0,12665,23328,8.282003026793696,0.0055068568060068,454.7925445292621,70.3125,84.1886922925298,50.78125,730.3102488406371,153.1819869764793,515.7726502522468,61.33293512483399,0,Non-Fatigue
20.147143759786264,9.3183687817151,405.9074016774945,20.147143759786264,380773.0,17287,32716,12.193994862724646,0.6717141210850354,235.12242954324583,105.46875,115.35466147004216,113.28125,105.42264271364536,9.542521197783064,73.88542278990218,21.981841182467164,1,Fatigue
21.825742557778256,10.35011923011072,476.3630381984129,21.825742557778256,303821.0,11760,27411,21.60853996463709,-1.207807562809527,265.82251236399605,58.59375,72.81863050298826,54.6875,124.7820458356739,43.64714956717732,72.19481280347165,8.929310812334835,1,Fatigue
23.427800469361063,12.264506558481292,548.8618348321944,23.427800469361063,289616.0,7777,24757,8.167994079466235,0.8450750199988433,196.16099773242632,62.5,74.95771134314644,46.875,140.52999647743206,40.69440099032128,92.30094462108823,7.5264320739874275,1,Fatigue
38.01045211548325,18.344001127792406,1444.7944700234448,38.01045211548325,518404.0,12130,25193,10.4690112136924,0.9366376004160702,335.1077582846004,62.5,72.5593679037321,62.5,377.9462566030671,79.24350902225703,276.9757335831599,21.71636286432156,0,Non-Fatigue
20.500853771791707,10.075689866952075,420.2850053723863,20.500853771791707,386757.0,16594,30422,10.225458752908017,-0.409723823038747,216.80460176991156,85.9375,102.80569108596386,54.6875,108.60972723529603,15.930710388350546,75.05958063162872,17.599036442953565,1,Fatigue
29.602897490859483,12.383526401615024,876.3315398543348,29.602897490859483,470011.0,17638,31512,22.41997386996788,2.234238748502787,442.11734513274337,93.75,105.35983986284825,82.03125,224.84798751469395,25.517278896292567,165.6038778582729,33.71029770806452,0,Non-Fatigue
39.3677278883054,16.73815227173413,1549.8179990876583,39.3677278883054,449231.0,15663,30897,13.333850078142412,1.2949831315783011,416.200955165692,58.59375,68.76919200566603,54.6875,396.2243208474983,103.0192243524776,274.29173592005804,18.90068352821009,1,Fatigue
66.61838295118946,28.6701749033141,4438.00894703133,66.61838295118946,779213.0,14965,29300,11.06804936535061,-1.2247134878399537,511.9119727891156,62.5,74.65765627434637,62.5,1141.3790713073265,194.75729027994225,904.6477232043908,41.941793267444645,1,Fatigue
28.9163356792675,12.6938708248855,836.1544691160788,28.9163356792675,389878.0,17344,32521,13.54669150367978,1.22605703790091,335.14275319567355,62.5,79.96901173590443,62.5,215.55858243419928,55.370308953084994,140.3838332854298,19.794469724677185,1,Fatigue
55.000176818817934,26.08712336115986,3025.019450101237,55.000176818817934,602165.0,12697,24506,10.351894016077315,1.2155459740772188,510.1016832779624,62.5,73.4962480428282,54.6875,779.50245414639,142.20707620013715,605.1374380447015,32.14373895015455,0,Non-Fatigue
21.811755874123616,10.072127092925188,475.7526943123661,21.811755874123616,292315.0,12416,28884,22.793218915721614,-0.7604455334039122,328.1458114674441,54.6875,70.41566989166878,42.96875,122.20952128123665,50.90039878194666,62.37863876167023,8.92077561717874,0,Non-Fatigue
35.06922479054872,15.88209910150838,1229.850527410037,35.06922479054872,557095.0,16254,29710,17.359704518768787,-1.567383694245542,493.886273352999,70.3125,90.5945998829323,58.59375,311.9038230352089,52.00513952294053,225.4342258345712,34.434762959616634,0,Non-Fatigue
57.95029322672515,27.241644507821498,3358.236485063427,57.95029322672515,633264.0,10534,22499,9.649172818009864,1.25877780644009,498.1593070489845,70.3125,79.62487579131118,50.78125,867.5562292266691,184.563383785335,628.411333033801,54.55737015702709,0,Non-Fatigue
62.05155856024615,27.84412698412699,3850.395919755657,62.05155856024615,554010.0,11885,24086,12.0509625991663,1.3747957853112098,510.2251700680272,58.59375,63.03890161697294,50.78125,1005.5122606270304,319.31810425549446,657.217059329173,28.965125237463965,0,Non-Fatigue
25.36910316093047,11.75565486319588,643.5913951899324,25.36910316093047,418217.0,14778,30259,12.734231811808655,1.0390998843095045,288.13571288102264,74.21875,95.63451811502048,62.5,165.98909714648866,29.662387090258697,111.76173503961763,24.549950769691037,0,Non-Fatigue
13.216860381835817,6.3731260392156965,174.68539835294118,13.216860381835817,246645.0,15981,32525,11.642583861245376,0.3282502888693736,141.97799999999995,74.21875,99.4277835616117,50.78125,45.48690078138161,10.194233283076464,27.795912767912448,7.485937489134598,1,Fatigue
43.79946908705656,19.65662296831956,1918.3934923080235,43.79946908705656,590599.0,14224,28233,16.980705289882394,-1.5696232489364754,502.7821590909091,54.6875,69.84447685707492,54.6875,489.7997526725169,165.40189843768246,292.45088147689563,31.9282432746994,1,Fatigue
83.48873919349117,38.62328664647215,6970.369572118789,83.48873919349117,924865.0,10651,22066,11.547507912701038,1.963159679655089,511.5710034602076,70.3125,82.15224536198416,58.59375,1814.235220979556,353.46217944568104,1314.746146562028,145.98982650156694,0,Non-Fatigue
